Name,Artist,Composer,Album,Genre,Size,Time,Disc Number,Disc Count,Track Number,Track Count,Year,CoverArtist,CoverTrackName,CoverYear,OGrace,CoverRace
Dream a Little Dream of Me,Ella Fitzgerald & Louis Armstrong,Fabian André & Wilbur Schwandt,Cheek To Cheek: The Complete Duet Recordings,Jazz,6818120,187,1,4,3,19,1950,The Mamas & The Papas,Dream a Little Dream of Me,1968,Black,White
Fever,Little Willie John,,28 Big Ones,R&B/Soul,6064412,161,1,1,1,28,1956,Madonna,Fever,1992,Black,White
Blue Suede Shoes,Carl Perkins,Carl Perkins,The Dance Album,Rock,5090853,134,1,1,1,12,1956,Elvis,Blue Suede Shoes,1956,White,White
Last Kiss,Wayne Cochran,,30 Country Hits - A History of Country Music,Country,5378851,148,2,2,4,15,1961,Pearl Jam,Last Kiss,2000,White,White
Tainted Love,Gloria Jones,Ed Cobb,Rockin' Originals: Original Versions of Famous Songs,Pop,4891789,131,1,1,6,12,1964,Soft Cell,Tainted Love,1981,Black,White
Time Is On My Side,Irma Thomas,Norman Meade,Wish Someone Would Care,R&B/Soul,6610880,172,1,1,7,12,1964,The Rolling Stones,Time Is On My Side,1964,Black,White
Respect,Otis Redding,Otis Redding,The Very Best of Otis Redding,R&B/Soul,4911868,127,1,1,6,16,1965,Aretha Franklin,Respect,1967,Black,Black
"Can't Get Enough of You, Baby",? and The Mysterians,Sandy Linzer & Denny Randell,"Cameo Parkway - The Best of ? & The Mysterians, 1966-1967",Rock,4610471,114,1,1,14,27,1965,Smash Mouth,"Can't Get Enough of You, Baby",1998,White,White
A Hazy Shade of Winter,Simon & Garfunkel,Paul Simon,Bookends,Singer/Songwriter,5644537,137,1,1,11,12,1966,The Bangles,A Hazy Shade of Winter,1987,White,White
The Tide Is High,The Paragons,,On the Beach With the Paragons,Worldwide,6081278,162,1,1,4,14,1967,Blondie,The Tide Is High,1980,Black,White
Red Red Wine,Neil Diamond,Neil Diamond,All-Time Greatest Hits,Pop,6015995,159,1,1,6,23,1967,UB40,Red Red Wine,1983,White,White
The First Cut is the Deepest,P.P. Arnold,Stevens,The First Lady of Immediate,R&B/Soul,6541874,185,1,1,6,12,1967,Sheryl Crow,The First Cut is the Deepest,2003,Black,White
All Along the Watchtower,Bob Dylan,Bob Dylan,The Essential Bob Dylan (Revised Edition),Rock,5525731,151,1,2,12,16,1967,Jimi Hendrix,All Along the Watchtower,1968,White,Black
"Girl, You'll Be a Woman Soon (Single Version)",Neil Diamond,Neil Diamond,All-Time Greatest Hits,Pop,6427940,180,2,2,3,21,1967,Urge Overkill,"Girl, You'll Be a Woman Soon (Single Version)",1994,White,White
I Think We're Alone Now,Tommy James & The Shondells,,The Complete Roulette Albums,Pop,4988347,132,1,1,35,89,1967,Tiffany,I Think We're Alone Now,1987,White,White
Hound Dog,Big Mama Thornton,Unknown,Vanguard Visionaries: Big Mama Thornton,Blues,6560524,180,1,1,1,10,1968,Elvis,Hound Dog,1956,Black,White
What a Man,Linda Lyndell,Dave Crawford,Soulsville U.S.A.: A Celebration of Stax,R&B/Soul,5921439,162,2,3,7,20,1968,En Vogue,What a Man,1993,White,Black
